,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id,Measured_Communication_Time,RF_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned Gradient Boosting Model SUM
0,64,7,76.0 MiB,79730127.72351618,538395.3719008265,525.8 KiB,484,1,1,Memory_Bound,FE,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,5730760898158475529,0.7526359272727272,0.5125952363014221,0.49195584654808044,0.5542029738426208,0.6347977966070175
1,64,7,38.0 MiB,39865063.86175809,89732.56198347108,87.6 KiB,484,1,1,Memory_Bound,BS,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,-6708562352488731434,0.7526359272727272,0.16341179609298706,0.14284195005893707,0.11067995429039001,0.6347977966070175
2,64,9,51.8 MiB,54333849.6,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,-5017364727830596526,0.502304768,0.4900124669075012,0.6080132722854614,0.3922336995601654,0.7074971571564674
3,64,9,25.9 MiB,27166924.8,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,7984250963992296794,0.502304768,0.11677396297454834,0.09948388487100601,0.08718720078468323,0.7074971571564674
4,64,14,30.0 MiB,31443200.0,294000.0,287.1 KiB,900,1,1,Memory_Bound,FE,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,738953752305795182,0.10981077333333333,1.0368518829345703,0.736674964427948,0.45698919892311096,0.9375317990779877
5,64,14,15.0 MiB,15721600.0,49000.0,47.9 KiB,900,1,1,Memory_Bound,BS,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,3187542560423489363,0.10981077333333333,0.14065787196159363,0.20085683465003967,0.09307229518890381,0.9375317990779877
6,64,18,20.6 MiB,21600000.0,230640.0,225.2 KiB,1156,1,1,Memory_Bound,FE,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,9050926963489818519,0.10326136470588235,0.6190908551216125,0.6440119743347168,0.4790830612182617,0.9495182931423187
7,64,18,10.3 MiB,10800000.0,38440.0,37.5 KiB,1156,1,1,Memory_Bound,BS,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,-6033294596891263913,0.10326136470588235,0.24756425619125366,0.30550631880760193,0.18679173290729523,0.9495182931423187
10,4,9,239.9 MiB,251545600.0,1142640.0,1.1 MiB,36,1,1,Memory_Bound,FE,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,-442328282327564472,0.8797973333333333,0.890088677406311,0.3050934076309204,1.3006517887115479,0.42394011467695236
11,4,9,119.9 MiB,125772800.0,190440.0,186.0 KiB,36,1,1,Memory_Bound,BS,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,6994603619813242408,0.8797973333333333,0.35578587651252747,0.11884670704603195,0.04638814926147461,0.42394011467695236
12,4,16,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,101.7639,57.2128,156.6332,20.289,134.5352,16.6841,8,2770442627820404738,-9133733564528064806,0.9154048,1.2841072082519531,0.26746097207069397,1.014941692352295,0.4474528729915619
13,4,16,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,101.7639,57.2128,156.6332,20.289,134.5352,16.6841,8,2770442627820404738,3624696757093328379,0.9154048,0.2246427685022354,0.17999190092086792,0.10727587342262268,0.4474528729915619
16,32,10,138.8 MiB,145570370.37037036,798106.6666666666,779.4 KiB,324,1,1,Memory_Bound,FE,317.8648,181.1955,485.3305,70.412,501.343,70.2807,18,5188312315275240626,-2302342359685041791,1.2885013333333335,0.9042791724205017,0.6144291162490845,0.7481026649475098,0.7732056379318237
17,32,10,69.4 MiB,72785185.18518518,133017.77777777778,129.9 KiB,324,1,1,Memory_Bound,BS,317.8648,181.1955,485.3305,70.412,501.343,70.2807,18,5188312315275240626,1162045491298540659,1.2885013333333335,0.15482527017593384,0.15877652168273926,0.08936658501625061,0.7732056379318237
20,32,15,76.0 MiB,79730127.72351618,538395.3719008265,525.8 KiB,484,1,1,Memory_Bound,FE,212.7116,129.723,292.281,51.7702,290.694,45.1254,22,-945702336840815,5748054667972638178,0.754752,0.9743824005126953,0.14454631507396698,0.6706539392471313,0.348661407828331
21,32,15,38.0 MiB,39865063.86175809,89732.56198347108,87.6 KiB,484,1,1,Memory_Bound,BS,212.7116,129.723,292.281,51.7702,290.694,45.1254,22,-945702336840815,-5563629980562709586,0.754752,0.2254859358072281,0.204115092754364,0.0837814211845398,0.348661407828331
22,32,19,51.8 MiB,54333849.6,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,166.2556,96.7164,253.6561,34.7174,260.2203,45.8755,25,7476354317860107661,-194257431364433278,0.495187968,1.1805139780044556,0.18650613725185394,0.5753355622291565,0.37334001064300537
23,32,19,25.9 MiB,27166924.8,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,166.2556,96.7164,253.6561,34.7174,260.2203,45.8755,25,7476354317860107661,5745329346142576402,0.495187968,0.279546856880188,0.18683387339115143,0.1644631177186966,0.37334001064300537
24,16,7,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,54.9765,32.7465,80.4558,11.593,82.2605,10.6759,11,-5873230060623349610,8992765391515513611,0.3810501818181818,0.382855087518692,0.21250255405902863,0.1775776892900467,0.2803143113851547
25,16,7,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,54.9765,32.7465,80.4558,11.593,82.2605,10.6759,11,-5873230060623349610,8354200447199550037,0.3810501818181818,0.1011735275387764,0.0678117573261261,0.047687023878097534,0.2803143113851547
26,16,10,23.6 MiB,24730928.356850248,251703.1952662722,245.8 KiB,169,1,1,Memory_Bound,FE,39.3589,20.2344,57.7552,9.81,59.5291,10.5929,13,-4933634543462254419,5185978710046019724,0.19923101538461538,0.3730223774909973,0.22063452005386353,0.13125279545783997,0.24257009103894234
27,16,10,11.8 MiB,12365464.178425124,41950.5325443787,41.0 KiB,169,1,1,Memory_Bound,BS,39.3589,20.2344,57.7552,9.81,59.5291,10.5929,13,-4933634543462254419,-4450187228447244445,0.19923101538461538,0.10579491406679153,0.02193557098507881,0.04945576190948486,0.24257009103894234
28,16,14,15.4 MiB,16098918.4,190857.6,186.4 KiB,225,1,1,Memory_Bound,FE,29.5901,11.0181,50.0578,9.4531,36.3861,11.2593,15,-3518389094100770387,-6404612164989747395,0.09402112000000001,0.3554174602031708,0.21404145658016205,0.1068577766418457,0.30784887075424194
29,16,14,7.7 MiB,8049459.199999999,31809.6,31.1 KiB,225,1,1,Memory_Bound,BS,29.5901,11.0181,50.0578,9.4531,36.3861,11.2593,15,-3518389094100770387,-8923199064345471524,0.09402112000000001,0.13668586313724518,0.0938074141740799,0.05081808567047119,0.30784887075424194
30,16,18,10.5 MiB,11059200.0,150000.0,146.5 KiB,289,1,1,Memory_Bound,FE,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-4188020329390468813,0.039983435294117645,0.3234751224517822,0.31648457050323486,0.16064457595348358,0.5060886144638062
31,16,18,5.3 MiB,5529600.0,25000.0,24.4 KiB,289,1,1,Memory_Bound,BS,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-3759908459623444476,0.039983435294117645,0.1975606083869934,0.1896040439605713,0.07727086544036865,0.5060886144638062
32,8,8,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,926044245343509440,0.914784,0.5057315826416016,-0.03302649408578873,0.29322072863578796,0.05162333697080612
33,8,8,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,7157785759410942770,0.914784,0.15024539828300476,0.08464983105659485,0.066414475440979,0.05162333697080612
36,8,15,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,54.9035,32.8656,80.2162,11.4251,82.0848,10.2689,11,-5596072196069369877,3386562845777392968,0.38243607272727276,0.8760276436805725,0.47194844484329224,0.3125268220901489,0.5464365035295486
37,8,15,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,54.9035,32.8656,80.2162,11.4251,82.0848,10.2689,11,-5596072196069369877,445671810046038173,0.38243607272727276,0.12413087487220764,0.07448805868625641,0.04731979966163635,0.5464365035295486
38,8,15,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,46.1927,27.2514,71.6772,12.5969,59.7249,9.0454,11,6234944935293346361,41288535370568634,0.31710720000000003,0.8760276436805725,0.47194844484329224,0.3125268220901489,0.5464365035295486
39,8,15,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,46.1927,27.2514,71.6772,12.5969,59.7249,9.0454,11,6234944935293346361,-2211646205677031759,0.31710720000000003,0.12413087487220764,0.07448805868625641,0.04731979966163635,0.5464365035295486
40,150,4,3.3 MiB,3477366.374400001,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.6989,4.237,10.9764,3.4945,17.2409,3.6268,25,-281772025961659960,810104522727602945,0.02169344,0.10326685756444931,0.06346505135297775,0.8299238681793213,0.11828263103961945
41,150,4,1.7 MiB,1738683.1872000005,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.6989,4.237,10.9764,3.4945,17.2409,3.6268,25,-281772025961659960,-6672522995998927643,0.02169344,0.0848761796951294,0.05481757968664169,0.6853407621383667,0.11828263103961945
42,150,4,51.8 MiB,54333849.6,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,166.0715,98.0568,253.6701,41.8469,261.5562,37.5958,25,408711638043590517,7470684454114407956,0.502050816,0.4330357015132904,0.28946590423583984,1.2191240787506104,0.356215238571167
43,150,4,25.9 MiB,27166924.8,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,166.0715,98.0568,253.6701,41.8469,261.5562,37.5958,25,408711638043590517,3738133137360941531,0.502050816,0.11401952803134918,0.06674933433532715,0.8124367594718933,0.356215238571167
44,150,10,12.7 MiB,13265100.0,168540.0,164.6 KiB,1600,1,1,Memory_Bound,FE,65.0419,18.4194,97.4317,23.4312,98.1014,17.1054,40,2163208065604125458,6917089622945072600,0.058942079999999994,0.242442786693573,0.23868675529956818,1.155084252357483,0.33582672476768494
45,150,10,6.3 MiB,6632550.0,28090.0,27.4 KiB,1600,1,1,Memory_Bound,BS,65.0419,18.4194,97.4317,23.4312,98.1014,17.1054,40,2163208065604125458,7978373341745561370,0.058942079999999994,0.11979296803474426,0.09713996946811676,0.8351607322692871,0.33582672476768494
46,150,12,9.5 MiB,9966265.965439525,140342.479338843,137.1 KiB,1936,1,1,Memory_Bound,FE,54.255,13.0251,63.3129,16.1926,86.0994,17.9396,44,151428218714533567,7425428010121107891,0.03789120000000001,0.23044759035110474,0.29182878136634827,1.1736656427383423,0.4377218931913376
47,150,12,4.8 MiB,4983132.982719761,23390.4132231405,22.8 KiB,1936,1,1,Memory_Bound,BS,54.255,13.0251,63.3129,16.1926,86.0994,17.9396,44,151428218714533567,-1299442444214449344,0.03789120000000001,0.11963300406932831,0.14589311182498932,0.8655314445495605,0.4377218931913376
48,150,16,6.5 MiB,6791731.199999999,109910.39999999998,107.3 KiB,2500,1,1,Memory_Bound,FE,41.3353,12.6087,43.5462,11.6127,67.05,11.6684,50,1077763400507752110,5843562755748303856,0.032278272000000004,0.23044759035110474,0.29182878136634827,1.2347352504730225,0.44329628348350525
49,150,16,3.2 MiB,3395865.6,18318.4,17.9 KiB,2500,1,1,Memory_Bound,BS,41.3353,12.6087,43.5462,11.6127,67.05,11.6684,50,1077763400507752110,4019814480027075551,0.032278272000000004,0.11963300406932831,0.15146750211715698,1.0507365465164185,0.44329628348350525
50,150,19,5.1 MiB,5391495.198902606,94936.29629629628,92.7 KiB,2916,1,1,Memory_Bound,FE,35.2449,7.0824,37.4252,8.4177,50.1176,7.4016,54,-5331411626403172645,-8281579122876379275,0.016787911111111112,0.35055187344551086,0.42572787404060364,1.3064430952072144,0.7034278512001038
51,150,19,2.6 MiB,2695747.599451303,15822.716049382716,15.5 KiB,2916,1,1,Memory_Bound,BS,35.2449,7.0824,37.4252,8.4177,50.1176,7.4016,54,-5331411626403172645,6738138916627765063,0.016787911111111112,0.22101813554763794,0.2776999771595001,1.0771262645721436,0.7034278512001038
52,64,7,4.9 MiB,5102728.174305035,91685.95041322317,89.5 KiB,484,1,1,Memory_Bound,FE,13.4266,4.3644,14.1838,3.4565,19.3022,3.7518,22,491964243658560376,-3972576000943363122,0.02539287272727273,0.1539537012577057,0.1439342498779297,0.0994299054145813,0.22508729994297028
53,64,7,2.4 MiB,2551364.0871525174,15280.991735537193,14.9 KiB,484,1,1,Memory_Bound,BS,13.4266,4.3644,14.1838,3.4565,19.3022,3.7518,22,491964243658560376,6244328714513005241,0.02539287272727273,0.08752499520778656,0.08115305006504059,0.03900650143623352,0.22508729994297028
54,64,9,3.3 MiB,3477366.374400001,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.7108,3.9599,10.9648,3.4757,17.2177,3.9445,25,-3089394604143375768,6655829940399864080,0.020274688000000003,0.10642681270837784,0.09157145023345947,0.07967355847358704,0.17272450029850006
55,64,9,1.7 MiB,1738683.1872000005,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.7108,3.9599,10.9648,3.4757,17.2177,3.9445,25,-3089394604143375768,7222896109877169562,0.020274688000000003,0.08752499520778656,0.08115305006504059,0.057244062423706055,0.17272450029850006
58,16,14,239.9 MiB,251545600.0,1142640.0,1.1 MiB,225,1,1,Memory_Bound,FE,452.214,247.933,682.5991,108.9363,604.1349,88.7608,15,-6660075413258788293,-816011991996190135,2.1156949333333332,1.7652040719985962,0.007804233580827713,1.793650507926941,0.32590027526021004
59,16,14,119.9 MiB,125772800.0,190440.0,186.0 KiB,225,1,1,Memory_Bound,BS,452.214,247.933,682.5991,108.9363,604.1349,88.7608,15,-6660075413258788293,-2476347011231194610,2.1156949333333332,0.6446069478988647,0.3180960416793823,0.19969134032726288,0.32590027526021004
60,16,18,164.8 MiB,172800000.0,893040.0,872.1 KiB,289,1,1,Memory_Bound,FE,353.6867,172.6062,533.2949,63.908,555.9951,72.4647,17,-1714548688298774700,-2051604867341366781,1.2996231529411766,2.0724544525146484,2.1251606941223145,1.4571908712387085,2.6531065702438354
61,16,18,82.4 MiB,86400000.0,148840.0,145.4 KiB,289,1,1,Memory_Bound,BS,353.6867,172.6062,533.2949,63.908,555.9951,72.4647,17,-1714548688298774700,8456366023840790660,1.2996231529411766,0.6600064039230347,0.527945876121521,0.2411555051803589,2.6531065702438354
62,32,7,15.4 MiB,16098918.4,190857.6,186.4 KiB,225,1,1,Memory_Bound,FE,29.6313,10.1902,44.9768,7.8153,36.8009,7.8224,15,3738514836526262185,2266483568110023614,0.08695637333333335,0.22786857187747955,0.2362808883190155,0.09825661778450012,0.33444418013095856
63,32,7,7.7 MiB,8049459.199999999,31809.6,31.1 KiB,225,1,1,Memory_Bound,BS,29.6313,10.1902,44.9768,7.8153,36.8009,7.8224,15,3738514836526262185,-8823377827060438797,0.08695637333333335,0.113007090985775,0.09816329181194305,0.05150553584098816,0.33444418013095856
64,32,10,8.9 MiB,9316503.703703703,134426.6666666667,131.3 KiB,324,1,1,Memory_Bound,FE,20.0885,4.701,21.4381,4.2467,29.5859,4.7188,18,1030485437947213087,1196764685957166929,0.03342933333333333,0.1479886770248413,0.155880868434906,0.08111736178398132,0.23900684714317322
65,32,10,4.4 MiB,4658251.851851853,22404.44444444445,21.9 KiB,324,1,1,Memory_Bound,BS,20.0885,4.701,21.4381,4.2467,29.5859,4.7188,18,1030485437947213087,-8212197815002484247,0.03342933333333333,0.08134197443723679,0.08312597870826721,0.05538129806518555,0.23900684714317322
66,32,12,6.5 MiB,6791731.199999999,109910.39999999998,107.3 KiB,400,1,1,Memory_Bound,FE,16.4936,4.4992,17.0408,3.04,26.5669,3.6939,20,2850147654478054123,4847980315335094047,0.028794880000000002,0.20755641162395477,0.1995830535888672,0.06931570172309875,0.2980591282248497
67,32,12,3.2 MiB,3395865.6,18318.4,17.9 KiB,400,1,1,Memory_Bound,BS,16.4936,4.4992,17.0408,3.04,26.5669,3.6939,20,2850147654478054123,-389597404256240253,0.028794880000000002,0.10593453794717789,0.09847607463598251,0.053318142890930176,0.2980591282248497
68,32,15,4.9 MiB,5102728.174305035,91685.95041322317,89.5 KiB,484,1,1,Memory_Bound,FE,13.4079,4.7409,14.2719,3.0813,19.3052,3.738,22,722513004518093135,-1598097509696532157,0.027583418181818184,0.2052202820777893,0.19159093499183655,0.08927971124649048,0.28911741077899933
69,32,15,2.4 MiB,2551364.0871525174,15280.991735537193,14.9 KiB,484,1,1,Memory_Bound,BS,13.4079,4.7409,14.2719,3.0813,19.3052,3.738,22,722513004518093135,1438124402466893709,0.027583418181818184,0.10593453794717789,0.09752647578716278,0.05367922782897949,0.28911741077899933
70,32,19,3.3 MiB,3477366.374400001,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.7332,4.1479,11.0277,3.2688,17.2244,3.2752,25,-3582051992138390684,6862599812314658690,0.021237248,0.22094780206680298,0.1165066584944725,0.1314326524734497,0.2334795817732811
71,32,19,1.7 MiB,1738683.1872000005,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.7332,4.1479,11.0277,3.2688,17.2244,3.2752,25,-3582051992138390684,2154081027777724715,0.021237248,0.19510149955749512,0.1169729232788086,0.07854759693145752,0.2334795817732811
